sex,age,address,traveltime,studytime,failures,schoolsup,activities,internet,romantic,freetime,goout,Dalc,Walc,health,G3
F,18,U,2,2,0,yes,no,no,no,3,4,1,1,3,11
F,17,U,1,2,0,no,no,yes,no,3,3,1,1,3,11
F,15,U,1,2,0,yes,no,yes,no,3,2,2,3,3,12
F,15,U,1,3,0,no,yes,yes,yes,2,2,1,1,5,14
F,16,U,1,2,0,no,no,no,no,3,2,1,2,5,13
M,16,U,1,2,0,no,yes,yes,no,4,2,1,2,5,13
M,16,U,1,2,0,no,no,yes,no,4,4,1,1,3,13
F,17,U,2,2,0,yes,no,no,no,1,4,1,1,1,13
M,15,U,1,2,0,no,no,yes,no,2,2,1,1,1,17
M,15,U,1,2,0,no,yes,yes,no,5,1,1,1,5,13
F,15,U,1,2,0,no,no,yes,no,3,3,1,2,2,14
F,15,U,3,3,0,no,yes,yes,no,2,2,1,1,4,13
M,15,U,1,1,0,no,yes,yes,no,3,3,1,3,5,12
M,15,U,2,2,0,no,no,yes,no,4,3,1,2,3,13
M,15,U,1,3,0,no,no,yes,yes,5,2,1,1,3,15
F,16,U,1,1,0,no,no,yes,no,4,4,1,2,2,17
F,16,U,1,3,0,no,yes,yes,no,2,3,1,2,2,14
F,16,U,3,2,0,yes,yes,no,no,3,2,1,1,4,14
M,17,U,1,1,3,no,yes,yes,no,5,5,2,4,5,7
M,16,U,1,1,0,no,yes,yes,no,1,3,1,3,5,12
M,15,U,1,2,0,no,no,yes,no,4,1,1,1,1,14
M,15,U,1,1,0,no,no,yes,no,4,2,1,1,5,12
M,16,U,1,2,0,no,yes,yes,no,5,1,1,3,5,14
M,16,U,2,2,0,no,yes,yes,no,4,4,2,4,5,10
F,15,R,1,3,0,yes,yes,yes,no,3,2,1,1,5,10
F,16,U,1,1,0,no,no,yes,no,2,2,1,3,5,12
M,15,U,1,1,0,no,no,yes,no,2,2,1,2,5,12
M,15,U,1,1,0,no,no,yes,no,2,4,2,4,1,11
M,16,U,1,2,0,yes,yes,yes,no,3,3,1,1,5,13
M,16,U,1,2,0,no,yes,yes,yes,4,5,5,5,5,12
M,15,U,1,2,0,no,no,yes,no,4,2,3,4,5,11
M,15,U,2,2,0,no,yes,yes,no,3,1,1,1,5,15
M,15,R,1,2,0,no,yes,yes,yes,5,2,1,1,5,15
M,15,U,1,2,0,no,yes,yes,no,3,2,1,1,2,12
M,16,U,1,1,0,no,no,yes,no,4,3,1,1,5,12
F,15,U,2,1,0,no,yes,no,no,5,1,1,1,5,11
M,15,U,1,3,0,no,yes,yes,no,4,3,1,1,4,14
M,16,R,2,3,0,no,yes,yes,yes,4,3,1,1,5,13
F,15,R,1,3,0,yes,yes,yes,no,3,2,1,1,5,12
F,15,R,1,1,0,yes,yes,no,no,3,1,1,1,2,12
F,16,U,2,2,0,no,yes,yes,yes,3,3,1,2,3,10
M,15,U,1,1,0,no,no,yes,yes,4,3,2,4,5,11
M,15,U,1,2,0,no,yes,yes,no,3,3,1,1,5,15
M,15,U,1,1,0,yes,no,yes,no,4,1,1,1,1,10
F,16,U,2,2,1,yes,yes,yes,no,3,3,2,2,5,11
F,15,U,1,2,0,yes,yes,yes,yes,2,2,1,1,5,11
F,16,U,1,2,0,no,no,yes,no,3,5,1,4,3,13
M,16,U,1,4,0,no,yes,yes,no,2,2,1,1,2,17
M,15,U,1,2,0,no,no,no,no,3,3,2,2,5,13
F,15,U,1,2,0,yes,yes,yes,no,4,4,1,1,3,12
F,16,U,3,2,0,no,no,yes,no,3,3,2,3,4,13
F,15,U,1,2,0,no,no,yes,no,3,3,1,1,5,16
M,15,U,2,1,0,no,no,no,no,5,5,3,4,5,9
F,15,U,1,1,0,yes,no,yes,no,3,4,2,3,5,12
F,15,U,1,1,0,no,no,yes,no,3,4,4,4,1,13
F,16,U,1,2,0,no,yes,yes,yes,3,4,1,1,2,12
F,15,U,1,2,0,no,yes,yes,no,3,2,1,1,1,15
M,15,U,1,2,0,no,yes,no,no,2,2,1,1,5,16
M,15,U,1,2,0,yes,yes,yes,no,3,2,1,1,5,14
F,16,U,1,2,0,no,no,yes,no,2,3,1,1,5,16
F,16,R,1,2,0,no,yes,no,no,4,4,2,3,4,16
F,16,U,4,1,0,yes,yes,yes,yes,5,5,5,5,5,16
F,16,U,1,2,0,yes,yes,yes,no,4,3,1,1,1,10
F,16,U,1,3,0,yes,yes,yes,no,4,4,2,4,4,13
F,15,U,1,2,0,yes,yes,yes,yes,4,4,2,4,2,12
F,16,U,3,2,0,no,yes,yes,no,4,3,1,2,1,16
M,15,U,1,4,0,no,yes,yes,yes,3,3,5,5,3,12
F,16,U,1,4,0,yes,no,yes,no,3,3,1,2,5,10
F,15,R,2,2,0,yes,no,yes,no,1,3,1,3,4,11
F,15,R,2,4,0,no,no,yes,no,4,2,2,3,3,15
M,16,U,2,4,0,no,no,yes,no,3,2,1,1,5,11
M,15,U,1,4,0,no,no,yes,no,3,3,1,1,3,10
F,15,R,1,2,0,yes,no,yes,yes,3,4,2,4,5,11
M,16,U,1,1,0,no,yes,no,no,3,2,2,2,5,14
F,16,U,1,2,0,yes,yes,yes,no,3,3,2,4,5,11
M,15,U,1,2,0,no,yes,yes,no,3,3,2,3,5,11
M,15,U,2,4,0,no,yes,yes,no,4,3,1,1,1,11
F,16,U,1,4,0,no,no,yes,yes,2,3,1,3,3,13
M,17,U,2,1,3,yes,yes,yes,no,5,1,1,1,3,10
