sex,age,address,traveltime,studytime,failures,schoolsup,activities,internet,romantic,freetime,goout,Dalc,Walc,health,G3
0,18,0,2,2,0,1,0,0,0,3,4,1,1,3,6
0,17,0,1,2,0,0,0,1,0,3,3,1,1,3,6
0,15,0,1,2,3,1,0,1,0,3,2,2,3,3,10
0,15,0,1,3,0,0,1,1,1,2,2,1,1,5,15
0,16,0,1,2,0,0,0,0,0,3,2,1,2,5,10
1,16,0,1,2,0,0,1,1,0,4,2,1,2,5,15
1,16,0,1,2,0,0,0,1,0,4,4,1,1,3,11
0,17,0,2,2,0,1,0,0,0,1,4,1,1,1,6
1,15,0,1,2,0,0,0,1,0,2,2,1,1,1,19
1,15,0,1,2,0,0,1,1,0,5,1,1,1,5,15
0,15,0,1,2,0,0,0,1,0,3,3,1,2,2,9
0,15,0,3,3,0,0,1,1,0,2,2,1,1,4,12
1,15,0,1,1,0,0,1,1,0,3,3,1,3,5,14
1,15,0,2,2,0,0,0,1,0,4,3,1,2,3,11
1,15,0,1,3,0,0,0,1,1,5,2,1,1,3,16
0,16,0,1,1,0,0,0,1,0,4,4,1,2,2,14
0,16,0,1,3,0,0,1,1,0,2,3,1,2,2,14
0,16,0,3,2,0,1,1,0,0,3,2,1,1,4,10
1,17,0,1,1,3,0,1,1,0,5,5,2,4,5,5
1,16,0,1,1,0,0,1,1,0,1,3,1,3,5,10
1,15,0,1,2,0,0,0,1,0,4,1,1,1,1,15
1,15,0,1,1,0,0,0,1,0,4,2,1,1,5,15
1,16,0,1,2,0,0,1,1,0,5,1,1,3,5,16
1,16,0,2,2,0,0,1,1,0,4,4,2,4,5,12
0,15,1,1,3,0,1,1,1,0,3,2,1,1,5,8
0,16,0,1,1,2,0,0,1,0,2,2,1,3,5,8
1,15,0,1,1,0,0,0,1,0,2,2,1,2,5,11
1,15,0,1,1,0,0,0,1,0,2,4,2,4,1,15
1,16,0,1,2,0,1,1,1,0,3,3,1,1,5,11
1,16,0,1,2,0,0,1,1,1,4,5,5,5,5,11
1,15,0,1,2,0,0,0,1,0,4,2,3,4,5,12
1,15,0,2,2,0,0,1,1,0,3,1,1,1,5,17
1,15,1,1,2,0,0,1,1,1,5,2,1,1,5,16
1,15,0,1,2,0,0,1,1,0,3,2,1,1,2,12
1,16,0,1,1,0,0,0,1,0,4,3,1,1,5,15
0,15,0,2,1,0,0,1,0,0,5,1,1,1,5,6
1,15,0,1,3,0,0,1,1,0,4,3,1,1,4,18
1,16,1,2,3,0,0,1,1,1,4,3,1,1,5,15
0,15,1,1,3,0,1,1,1,0,3,2,1,1,5,11
0,15,1,1,1,0,1,1,0,0,3,1,1,1,2,13
0,16,0,2,2,1,0,1,1,1,3,3,1,2,3,11
1,15,0,1,1,0,0,0,1,1,4,3,2,4,5,12
1,15,0,1,2,0,0,1,1,0,3,3,1,1,5,18
1,15,0,1,1,0,1,0,1,0,4,1,1,1,1,11
0,16,0,2,2,1,1,1,1,0,3,3,2,2,5,9
0,15,0,1,2,0,1,1,1,1,2,2,1,1,5,6
0,16,0,1,2,0,0,0,1,0,3,5,1,4,3,11
1,16,0,1,4,0,0,1,1,0,2,2,1,1,2,20
1,15,0,1,2,0,0,0,0,0,3,3,2,2,5,14
0,15,0,1,2,1,1,1,1,0,4,4,1,1,3,7
0,16,0,3,2,0,0,0,1,0,3,3,2,3,4,13
0,15,0,1,2,0,0,0,1,0,3,3,1,1,5,13
1,15,0,2,1,1,0,0,0,0,5,5,3,4,5,10
0,15,0,1,1,0,1,0,1,0,3,4,2,3,5,11
0,15,0,1,1,0,0,0,1,0,3,4,4,4,1,13
0,16,0,1,2,0,0,1,1,1,3,4,1,1,2,10
0,15,0,1,2,0,0,1,1,0,3,2,1,1,1,15
1,15,0,1,2,0,0,1,0,0,2,2,1,1,5,15
1,15,0,1,2,0,1,1,1,0,3,2,1,1,5,9
0,16,0,1,2,0,0,0,1,0,2,3,1,1,5,16
0,16,1,1,2,0,0,1,0,0,4,4,2,3,4,11
0,16,0,4,1,0,1,1,1,1,5,5,5,5,5,11
0,16,0,1,2,0,1,1,1,0,4,3,1,1,1,9
0,16,0,1,3,0,1,1,1,0,4,4,2,4,4,9
0,15,0,1,2,0,1,1,1,1,4,4,2,4,2,10
0,16,0,3,2,0,0,1,1,0,4,3,1,2,1,15
1,15,0,1,4,0,0,1,1,1,3,3,5,5,3,12
0,16,0,1,4,0,1,0,1,0,3,3,1,2,5,6
0,15,1,2,2,0,1,0,1,0,1,3,1,3,4,8
0,15,1,2,4,0,0,0,1,0,4,2,2,3,3,16
1,16,0,2,4,0,0,0,1,0,3,2,1,1,5,15
1,15,0,1,4,0,0,0,1,0,3,3,1,1,3,10
0,15,1,1,2,2,1,0,1,1,3,4,2,4,5,5
1,16,0,1,1,0,0,1,0,0,3,2,2,2,5,14
0,16,0,1,2,0,1,1,1,0,3,3,2,4,5,11
1,15,0,1,2,0,0,1,1,0,3,3,2,3,5,10
1,15,0,2,4,0,0,1,1,0,4,3,1,1,1,10
0,16,0,1,4,0,0,0,1,1,2,3,1,3,3,11
1,17,0,2,1,3,1,1,1,0,5,1,1,1,3,10
0,16,0,1,2,0,0,0,1,0,4,3,1,2,3,5
1,15,0,1,1,0,1,1,1,1,2,2,1,3,3,12
1,15,0,1,3,0,1,0,1,0,3,2,1,2,5,11
0,15,0,1,2,0,0,0,1,0,4,4,1,1,5,6
1,15,0,2,2,0,0,1,1,0,3,3,1,3,4,15
0,15,0,1,2,0,0,1,1,0,3,2,2,3,4,10
0,15,0,2,2,2,0,0,1,1,4,4,2,3,5,8
0,16,0,1,2,0,0,0,0,0,3,4,1,2,2,6
0,15,0,1,3,0,0,1,1,0,3,3,1,3,1,14
1,16,0,2,2,1,0,1,1,0,4,2,1,1,3,10
1,16,0,1,2,0,0,0,0,0,1,3,3,5,5,7
0,16,0,1,3,0,0,0,1,1,3,3,1,3,4,8
0,15,0,1,1,0,0,1,1,0,5,5,1,3,1,18
0,16,0,1,2,0,1,0,0,0,3,3,2,3,2,6
0,16,0,2,2,0,0,1,1,0,3,3,1,1,1,10
1,15,0,1,4,0,0,1,1,0,3,4,1,1,4,14
0,15,1,2,4,1,1,1,1,0,1,2,1,1,1,10
1,16,1,2,1,0,1,1,1,0,3,3,1,1,4,15
0,16,0,1,2,0,0,0,0,1,3,5,1,1,5,10
0,16,0,1,1,0,0,1,1,0,3,4,1,2,1,14
0,16,0,1,3,0,1,0,1,0,3,5,1,1,3,8
1,16,0,1,1,0,1,1,1,0,5,5,5,5,4,5
1,16,0,1,3,0,0,1,1,1,4,3,1,1,4,17
1,15,0,1,1,0,0,1,1,0,3,3,1,1,5,14
0,15,0,2,2,0,1,0,1,0,3,5,1,1,2,6
1,15,0,1,2,0,0,1,1,0,4,4,1,1,1,18
0,15,0,1,4,0,1,0,0,0,3,3,1,1,4,11
0,15,0,1,4,0,1,0,1,0,1,2,1,1,3,8
1,16,0,1,3,0,0,1,1,0,3,3,1,1,5,18
1,15,1,4,4,0,0,1,1,1,3,5,3,5,1,13
0,16,0,1,3,0,0,1,1,1,4,5,1,1,4,16
1,15,0,1,1,0,0,1,1,0,5,3,1,1,4,19
0,16,1,1,3,1,1,1,1,0,1,2,1,1,2,10
0,16,0,1,2,1,1,1,1,0,1,2,1,1,5,13
1,15,0,1,1,0,0,0,1,0,5,2,1,1,3,19
1,15,1,1,2,0,0,1,1,1,4,2,1,1,5,9
1,16,0,1,2,0,0,1,1,0,4,4,1,2,5,16
1,15,0,2,2,0,0,1,0,0,4,3,1,1,2,14
